"id","operation","baseCurrency","baseCurrencyAmount","createdAt","quoteCurrency","quoteCurrencyAmount","feeAmount","extraFeeAmount","status"
"f933074d-cfce-4992-9182-de2815d0eec9","sell","btc",0.015,"2022-11-04T18:45:00.218Z","usd",298.4,3.99,0,"pending"
"bc06ed31-4355-440d-81d9-581ab7d37ec6","sell","btc",0.015,"2022-11-04T18:47:41.108Z","usd",298.05,3.99,0,"pending"
